a,b,c,d,e,f,g
2.099999999999999922e-01,1.999999545989742833e+00,-8.672655451028741800e-06,-2.024524980720301404e+00,5.513691180147177501e-07,-2.606263534770541807e-03,-2.521906024116018358e-02
2.149999999999999967e-01,1.999999501043402628e+00,-9.310752993641673112e-06,-2.024524977786598345e+00,6.208007718426247673e-07,-2.733957239365041210e-03,-2.585886885113137384e-02
2.200000000000000011e-01,1.999999452829829494e+00,-9.979653641533880846e-06,-2.024524974488078222e+00,6.971092908286746649e-07,-2.864856954528320360e-03,-2.650147420672538737e-02
2.250000000000000056e-01,1.999999401193202075e+00,-1.068010886710756864e-05,-2.024524970790058997e+00,7.807952472175092933e-07,-2.998976826786431838e-03,-2.714694346036332015e-02
2.300000000000000100e-01,1.999999345974021292e+00,-1.141287196270235143e-05,-2.024524966656263913e+00,8.723782411619893922e-07,-3.136331333129037391e-03,-2.779534387934569015e-02
2.350000000000000144e-01,1.999999287008858984e+00,-1.217869663474600249e-05,-2.024524962044770504e+00,9.724205532528555500e-07,-3.276935302534014684e-03,-2.844674291877580599e-02
2.399999999999999911e-01,1.999999224129680897e+00,-1.297833314545933936e-05,-2.024524956897104211e+00,1.081590703267604173e-06,-3.420803973845176846e-03,-2.910120841602229641e-02
2.449999999999999956e-01,1.999999157165438524e+00,-1.381253760300675469e-05,-2.024524951164110131e+00,1.200513057303293295e-06,-3.567952858747835097e-03,-2.975880813356635013e-02
2.500000000000000000e-01,1.999999085941431831e+00,-1.468206833181961449e-05,-2.024524944795682568e+00,1.329827666442448237e-06,-3.718397796257650548e-03,-3.041960994213425626e-02
2.550000000000000044e-01,1.999999010279198020e+00,-1.558768528452380713e-05,-2.024524937739006880e+00,1.470200612412463983e-06,-3.872154962123169810e-03,-3.108368185309311887e-02
2.600000000000000089e-01,1.999998929996501307e+00,-1.653015004061472460e-05,-2.024524929938437356e+00,1.622324805685139749e-06,-4.029240869530869955e-03,-3.175109202176830403e-02
2.650000000000000133e-01,1.999998844907320716e+00,-1.751022580513222860e-05,-2.024524921335381755e+00,1.786920783576209724e-06,-4.189672369810206083e-03,-3.242190875076088330e-02
