ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.39821;6.6463;5.83228;1.52871;7.59884;6.00758;-0.36992;-0.29174;-0.47218;-5.67;-2.065;1.033;0.0;2.16;19.2;-1.8;349.509;-50.793;-14.277;8.0;1012.533;70.9175;32.689083;34.95027;39.887;11.9330635;;114.314;12.0;25.125;13 / 13;59808;2015-08-10 00:24:04:750
1.26414;8.29351;5.9855;1.26527;7.61824;6.04417;0.50644;0.16771;-0.04909;4.97;3.325;2.695;0.0;1.8;19.44;-1.32;350.112;-50.972;-11.823;8.0;1012.518;71.4033;32.689083;34.95027;39.887;11.9330635;;114.314;12.0;25.125;13 / 13;60457;2015-08-10 00:24:05:399
1.42694;8.16902;5.50666;1.12739;7.73885;5.91689;0.47194;0.21948;-0.15165;9.135;-5.6;4.533;0.0;2.28;19.92;-2.1;350.197;-52.201;-10.674;8.0;1012.384;71.854;32.68935;34.950413;39.609;11.9330635;;114.003;8.0;23.64;13 / 13;61108;2015-08-10 00:24:06:050
1.77171;7.95833;5.43005;1.23502;7.75914;5.86864;-0.14327;-0.61484;-0.38113;2.905;-0.385;10.395;0.0;1.8;19.86;-1.5;350.301;-52.379;-11.906;8.0;1012.761;72.7321;32.68962;34.95055;39.106;11.9330635;;112.351;8.0;22.875;12 / 13;61757;2015-08-10 00:24:06:699
1.8579;7.64229;5.48751;1.48457;7.8492;5.68828;-0.05762;0.55924;-0.99565;3.168;1.208;-0.42;0.0;2.16;19.86;-1.62;349.475;-53.168;-14.627;8.0;1012.263;71.2417;32.68962;34.95055;39.106;11.9330635;;112.351;8.0;22.875;12 / 13;62407;2015-08-10 00:24:07:349
1.81959;7.64229;5.3247;1.58562;7.70643;5.85381;0.23397;-0.06414;-0.5291;-2.905;-1.435;-4.165;0.0;2.46;19.98;-1.68;349.666;-51.878;-15.151;8.0;1012.58;70.4466;32.689896;34.95068;38.582;11.9330635;;114.24;8.0;22.519;12 / 13;63057;2015-08-10 00:24:07:999
0.91937;6.78996;5.60243;1.43914;7.63948;5.97809;0.21765;-1.60609;-0.34693;-10.08;9.118;1.54;0.0;2.58;20.28;-2.16;345.933;-51.17;-13.536;8.0;1012.541;73.204;32.690163;34.95081;38.121;11.9330635;;113.22;8.0;21.789;10 / 13;63709;2015-08-10 00:24:08:651
1.54187;7.34541;5.30555;1.59672;7.59162;5.99902;-0.05486;-0.24621;-0.69347;-0.91;-4.34;-0.892;0.0;2.52;20.28;-1.92;345.79;-50.949;-15.074;8.0;1012.829;70.3294;32.690163;34.95081;38.121;11.9330635;;113.22;8.0;21.789;10 / 13;64357;2015-08-10 00:24:09:299
1.27372;7.35499;6.79953;1.54098;7.69169;5.88504;-0.26726;-0.33671;0.9145;4.655;-3.062;-2.152;0.0;3.54;21.0;-2.34;346.263;-51.676;-14.676;8.0;1012.714;70.8852;32.690426;34.95092;37.805;11.9330635;;110.744;8.0;19.979;10 / 12;65007;2015-08-10 00:24:09:949
1.58017;6.34942;4.44364;1.38486;7.74881;5.84881;-0.15903;-0.74816;-0.95506;-10.027;-3.325;4.008;0.0;3.78;20.58;-2.58;341.727;-52.112;-13.186;8.0;1012.411;72.1688;32.69069;34.951027;37.566;11.9330635;;110.579;8.0;20.193;10 / 12;65659;2015-08-10 00:24:10:601
0.7853;6.7325;5.74608;1.4933;7.76894;5.79518;-0.708;-1.03644;-0.04909;0.49;-0.98;-0.14;0.0;4.08;20.52;-2.94;342.118;-52.393;-14.45;8.0;1012.332;71.5738;32.69069;34.951027;37.566;11.9330635;;110.579;8.0;20.193;10 / 12;66308;2015-08-10 00:24:11:250
1.46525;7.75721;5.93762;1.46387;7.87748;5.65445;0.09715;0.25323;0.08206;5.39;4.76;-3.08;0.0;3.9;20.4;-3.24;341.025;-53.389;-14.548;8.0;1012.451;71.332;32.690952;34.951122;37.123;11.4933434;;109.677;8.0;17.829;10 / 10;66957;2015-08-10 00:24:11:899
1.49398;7.41245;5.85143;1.5942;7.91005;5.57315;-0.52678;-0.29463;0.70253;0.385;-10.885;1.505;0.0;5.22;20.16;-2.94;336.54;-54.071;-15.82;8.0;1012.478;71.5233;32.69121;34.951218;36.828;11.4933434;;107.852;8.0;16.91;10 / 10;67608;2015-08-10 00:24:12:550
1.75256;7.62314;5.20021;1.74126;7.67455;5.85147;0.36564;-0.11845;-0.38311;4.865;-2.87;2.853;0.0;4.8;21.12;-1.98;338.273;-51.498;-16.572;8.0;1012.469;66.6636;32.69121;34.951218;36.828;11.4933434;;107.852;8.0;16.91;10 / 10;68257;2015-08-10 00:24:13:199
1.74298;5.89931;3.78284;1.77486;7.68237;5.83108;-0.46284;-1.44787;-2.16316;-7.42;11.445;2.94;0.0;3.18;19.86;-3.06;345.024;-51.571;-16.929;8.0;1012.485;70.0354;32.691475;34.9513;36.62;11.4933434;;109.182;12.0;15.526;10 / 10;68908;2015-08-10 00:24:13:850
1.71425;6.80911;4.83629;1.58199;7.92179;5.55993;-0.16463;-1.59152;-0.9918;-32.357;3.675;5.268;0.0;4.86;20.7;-3.72;337.681;-53.881;-15.883;8.0;1012.433;76.0345;32.691742;34.95138;36.219;11.4933434;;109.779;12.0;14.071;9 / 10;69561;2015-08-10 00:24:14:503
